버스정류장명,정류장번호,도로명주소,지번주소,위도,경도,기준일
거울못공원,68385,,강원특별자치도 원주시 지정면 가곡리  1340,37.374231,127.87795,2024-03-31
간현고개,68386,,강원특별자치도 원주시 지정면 간현리 산111,37.344402,127.849127,2024-03-31
간현고개,68387,,강원특별자치도 원주시 지정면 간현리 244,37.344473,127.849236,2024-03-31
장지골,68388,,강원특별자치도 원주시 지정면 안창리  620,37.354759,127.799597,2024-03-31
장지골,68389,,강원특별자치도 원주시 지정면 안창리  620,37.354795,127.799737,2024-03-31
기업사거리,68390,,강원특별자치도 원주시 지정면 가곡리  1356,37.373309,127.872602,2024-03-31
사기막,68391,,강원특별자치도 원주시 지정면 판대리 386,37.385492,127.788971,2024-03-31
사기막,68392,,강원특별자치도 원주시 지정면 판대리 385,37.385428,127.788823,2024-03-31
법천,68396,,강원특별자치도 원주시 부론면 법천리 1250,37.196662,127.75401,2024-03-31
법천,68397,,강원특별자치도 원주시 부론면 법천리 1251,37.196604,127.753922,2024-03-31
원주경찰서,68398,,강원특별자치도 원주시 봉산동 1098,37.348192,127.956472,2024-03-31
롯데캐슬2차,68399,,강원특별자치도 원주시 지정면 가곡리 1531,37.377498,127.876156,2024-03-31
롯데캐슬2차,68400,강원특별자치도 원주시 지정면 가곡로 70,강원특별자치도 원주시 지정면 가곡리 1534,37.378333,127.875477,2024-03-31
영산성당,68401,,강원특별자치도 원주시 호저면 광격리 847,37.451412,127.931135,2024-03-31
영산성당,68402,,강원특별자치도 원주시 호저면 광격리 847,37.451387,127.931232,2024-03-31
중흥2단지,68403,,강원특별자치도 원주시 반곡동 2047,37.319142,127.974133,2024-03-31
뜨란채,68404,,강원특별자치도 원주시 무실동   1685,37.333775,127.925614,2024-03-31
외촌,68405,,강원특별자치도 원주시 귀래면 운남리 854,37.162408,127.883419,2024-03-31
외촌,68406,,강원특별자치도 원주시 귀래면 운남리  857,37.162417,127.883577,2024-03-31
이편한세상,68407,,강원특별자치도 원주시 태장동 937,37.37303,127.949806,2024-03-31
이편한세상,68408,,강원특별자치도 원주시 태장동 934,37.372711,127.94985,2024-03-31
호반베르디움,68409,,강원특별자치도 원주시 지정면 가곡리  1540,37.382092,127.873866,2024-03-31
라온프라이빗,68410,,강원특별자치도 원주시 지정면 가곡리  1540,37.38287,127.87319,2024-03-31
장포소류지,68411,,강원특별자치도 원주시 호저면 무장리  산 28,37.415125,127.908172,2024-03-31
장포소류지,68412,,강원특별자치도 원주시 호저면 무장리  산 24,37.41613,127.906687,2024-03-31
서곡삼거리앞,68413,,강원특별자치도 원주시 판부면 서곡리  745,37.308011,127.929653,2024-03-31
서곡삼거리앞,68414,,강원특별자치도 원주시 판부면 서곡리 687,37.30786,127.929971,2024-03-31
비두초등학교,68415,강원특별자치도 원주시 문막읍 귀문로 1070,강원특별자치도 원주시 문막읍 비두리 847,37.262295,127.833921,2024-03-31
문막읍행정복지센터,68416,,강원특별자치도 원주시 문막읍 건등리  1734,37.311873,127.817938,2024-03-31
문막읍행정복지센터,68417,,강원특별자치도 원주시 문막읍 건등리  1734,37.312039,127.818002,2024-03-31
문막공단(명성산업),68418,,강원특별자치도 원주시 문막읍 반계리  5,37.298049,127.806496,2024-03-31
문막공단(대한화인세라믹),68419,,강원특별자치도 원주시 문막읍 반계리  5,37.298075,127.804169,2024-03-31
